metric,student,student_minus_teacher,student_retention_percent_of_teacher,teacher
quality_score,91.35852380952382,-0.8709523809523887,99.05566808256218,92.2294761904762
word_count,375.96,-12.379999999999995,96.81207189576145,388.34
bullet_count,26.25,-0.379999999999999,98.57303792714983,26.63
numeric_evidence_count,16.45,-1.3399999999999999,92.46767847105116,17.79
action_verb_count,14.22,0.009999999999999787,100.07037297677692,14.21
explanation_connector_count,3.37,-0.22999999999999998,93.61111111111111,3.6
required_heading_coverage,1.0,0.0,100.0,1.0
recommendation_category_count,8.0,0.0,100.0,8.0
feature_evidence_count,10.47,-0.35999999999999943,96.67590027700832,10.83
key_signal_coverage,0.9983333333333332,0.0014285714285713347,100.14330069262,0.9969047619047618
forbidden_term_count,0.0,0.0,,0.0
medical_disclaimer_present,0.02,-0.05,28.57142857142857,0.07
