model_key,model_label,person_index,action_verb_count,bullet_count,char_count,explanation_connector_count,line_count,medical_disclaimer_present,numeric_evidence_count,required_heading_count,required_heading_coverage,word_count,quality_status,generation_seconds,predicted_body_age_years
teacher_qwen25_7b,Teacher: Qwen2.5-7B,0,11,21,2392,1,21,1,13,5,1.0,330,passed,63.744,88.03
teacher_qwen25_7b,Teacher: Qwen2.5-7B,1,14,31,3049,1,31,1,22,5,1.0,431,passed,93.446,71.23
teacher_qwen25_7b,Teacher: Qwen2.5-7B,2,13,19,2448,0,19,1,14,5,1.0,337,passed,66.373,74.74
teacher_qwen25_7b,Teacher: Qwen2.5-7B,3,15,24,2733,4,24,1,13,5,1.0,368,passed,67.991,51.2
teacher_qwen25_7b,Teacher: Qwen2.5-7B,4,11,28,3165,1,28,1,21,5,1.0,435,passed,85.29299999999998,76.0
teacher_qwen25_7b,Teacher: Qwen2.5-7B,5,14,19,2538,1,19,1,14,5,1.0,355,passed,60.392,28.38
teacher_qwen25_7b,Teacher: Qwen2.5-7B,6,13,26,2695,2,26,1,18,5,1.0,361,passed,70.814,79.37
teacher_qwen25_7b,Teacher: Qwen2.5-7B,7,12,24,2389,1,24,1,12,5,1.0,323,passed,59.46,25.74
teacher_qwen25_7b,Teacher: Qwen2.5-7B,8,15,25,2755,0,25,1,14,5,1.0,374,passed,69.669,54.54
teacher_qwen25_7b,Teacher: Qwen2.5-7B,9,14,27,2805,0,27,1,22,5,1.0,386,passed,74.915,82.22
teacher_qwen25_7b,Teacher: Qwen2.5-7B,10,15,26,2632,1,26,1,19,5,1.0,369,passed,69.65899999999999,76.63
teacher_qwen25_7b,Teacher: Qwen2.5-7B,11,13,19,2642,1,19,1,17,5,1.0,374,passed,66.5,65.18
teacher_qwen25_7b,Teacher: Qwen2.5-7B,12,11,21,2597,2,21,1,12,5,1.0,361,passed,63.959,70.88
teacher_qwen25_7b,Teacher: Qwen2.5-7B,13,17,25,2700,1,25,1,14,5,1.0,376,passed,69.991,19.14
teacher_qwen25_7b,Teacher: Qwen2.5-7B,14,13,27,2874,0,27,1,20,5,1.0,391,passed,77.453,47.82
teacher_qwen25_7b,Teacher: Qwen2.5-7B,15,11,24,2483,1,24,1,18,5,1.0,342,passed,69.064,27.96
teacher_qwen25_7b,Teacher: Qwen2.5-7B,16,10,28,2707,1,28,1,15,5,1.0,362,passed,66.902,57.66
teacher_qwen25_7b,Teacher: Qwen2.5-7B,17,12,25,2557,1,25,1,19,5,1.0,358,passed,67.96,45.04
teacher_qwen25_7b,Teacher: Qwen2.5-7B,18,14,26,2692,2,26,1,13,5,1.0,370,passed,70.858,74.26
teacher_qwen25_7b,Teacher: Qwen2.5-7B,19,17,35,3218,2,35,1,21,5,1.0,439,passed,90.565,24.07
teacher_qwen25_7b,Teacher: Qwen2.5-7B,20,15,21,2374,3,21,1,18,5,1.0,338,passed,66.737,29.58
teacher_qwen25_7b,Teacher: Qwen2.5-7B,21,13,22,2685,0,22,1,12,5,1.0,374,passed,67.795,49.16
teacher_qwen25_7b,Teacher: Qwen2.5-7B,22,13,26,2903,2,26,1,13,5,1.0,401,passed,70.149,33.13
teacher_qwen25_7b,Teacher: Qwen2.5-7B,23,14,31,3158,2,31,1,20,5,1.0,435,passed,84.59700000000002,77.54
teacher_qwen25_7b,Teacher: Qwen2.5-7B,24,11,27,2563,1,27,1,18,5,1.0,351,passed,73.509,44.87
teacher_qwen25_7b,Teacher: Qwen2.5-7B,25,10,23,2458,2,23,1,15,5,1.0,350,passed,66.798,63.0
teacher_qwen25_7b,Teacher: Qwen2.5-7B,26,16,38,2971,1,38,1,20,5,1.0,415,passed,82.346,37.99
teacher_qwen25_7b,Teacher: Qwen2.5-7B,27,12,24,2394,1,24,1,14,5,1.0,331,passed,65.384,30.61
teacher_qwen25_7b,Teacher: Qwen2.5-7B,28,10,21,2663,1,21,1,12,5,1.0,368,passed,63.69600000000001,84.83
teacher_qwen25_7b,Teacher: Qwen2.5-7B,29,14,36,3080,2,36,1,19,5,1.0,423,passed,78.17699999999998,36.34
teacher_qwen25_7b,Teacher: Qwen2.5-7B,30,14,27,2838,1,27,1,21,5,1.0,390,passed,78.486,53.11
teacher_qwen25_7b,Teacher: Qwen2.5-7B,31,18,33,2998,0,33,1,22,5,1.0,419,passed,80.911,75.38
teacher_qwen25_7b,Teacher: Qwen2.5-7B,32,14,32,2772,1,32,1,21,5,1.0,383,passed,80.63600000000002,64.1
teacher_qwen25_7b,Teacher: Qwen2.5-7B,33,15,24,2541,1,24,1,13,5,1.0,349,passed,63.96,47.19
