model_key,model_label,person_index,action_verb_count,bullet_count,char_count,explanation_connector_count,line_count,medical_disclaimer_present,numeric_evidence_count,required_heading_count,required_heading_coverage,word_count
student_qwen_from_both,Student: 0.5B from Both,0,9,5,3235,3,23,1,20,5,1.0,480
student_qwen_from_both,Student: 0.5B from Both,1,9,5,2797,2,23,1,14,5,1.0,403
student_qwen_from_both,Student: 0.5B from Both,2,10,5,2828,3,23,1,13,5,1.0,415
student_qwen_from_both,Student: 0.5B from Both,3,8,4,2530,3,22,1,9,5,1.0,364
student_qwen_from_both,Student: 0.5B from Both,4,7,4,2713,1,22,1,19,5,1.0,394
student_qwen_from_both,Student: 0.5B from Both,5,11,5,3162,2,23,1,16,5,1.0,466
student_qwen_from_both,Student: 0.5B from Both,6,11,8,3439,4,26,1,20,5,1.0,502
student_qwen_from_both,Student: 0.5B from Both,7,10,4,2974,4,22,1,10,5,1.0,435
student_qwen_from_both,Student: 0.5B from Both,8,8,4,2748,2,22,1,15,5,1.0,390
student_qwen_from_both,Student: 0.5B from Both,9,8,4,2811,4,22,1,18,5,1.0,415
student_qwen_from_both,Student: 0.5B from Both,10,8,4,2568,2,23,1,12,5,1.0,379
student_qwen_from_both,Student: 0.5B from Both,11,9,5,2464,1,23,1,10,5,1.0,345
student_qwen_from_both,Student: 0.5B from Both,12,11,5,2982,2,23,1,12,5,1.0,441
student_qwen_from_both,Student: 0.5B from Both,13,9,8,2979,4,26,1,17,5,1.0,436
student_qwen_from_both,Student: 0.5B from Both,14,10,6,3156,2,24,1,12,5,1.0,449
student_qwen_from_both,Student: 0.5B from Both,15,10,5,3019,1,23,1,16,5,1.0,440
student_qwen_from_both,Student: 0.5B from Both,16,6,4,2700,3,22,1,18,5,1.0,401
student_qwen_from_both,Student: 0.5B from Both,17,9,5,3063,2,23,1,10,5,1.0,456
student_qwen_from_both,Student: 0.5B from Both,18,7,6,2917,1,24,1,14,5,1.0,423
student_qwen_from_both,Student: 0.5B from Both,19,8,3,2493,3,21,1,17,5,1.0,365
student_qwen_from_both,Student: 0.5B from Both,20,9,4,2845,2,22,1,11,5,1.0,415
student_qwen_from_both,Student: 0.5B from Both,21,11,4,2851,2,22,1,16,5,1.0,409
student_qwen_from_both,Student: 0.5B from Both,22,10,4,2858,2,22,1,14,5,1.0,420
student_qwen_from_both,Student: 0.5B from Both,23,7,5,3086,1,24,1,12,5,1.0,450
student_qwen_from_both,Student: 0.5B from Both,24,10,6,2847,2,24,1,12,5,1.0,419
student_qwen_from_both,Student: 0.5B from Both,25,11,7,2737,3,25,1,8,5,1.0,402
student_qwen_from_both,Student: 0.5B from Both,26,9,3,2702,3,21,1,20,5,1.0,404
student_qwen_from_both,Student: 0.5B from Both,27,11,4,3039,2,22,1,14,5,1.0,449
student_qwen_from_both,Student: 0.5B from Both,28,10,10,2719,2,29,1,20,5,1.0,401
student_qwen_from_both,Student: 0.5B from Both,29,9,4,2484,3,22,1,9,5,1.0,364
student_qwen_from_both,Student: 0.5B from Both,30,13,5,2847,4,23,1,13,5,1.0,412
student_qwen_from_both,Student: 0.5B from Both,31,14,4,2938,1,22,1,12,5,1.0,443
student_qwen_from_both,Student: 0.5B from Both,32,14,15,2467,1,28,1,18,5,1.0,351
student_qwen_from_both,Student: 0.5B from Both,33,9,3,2607,1,21,1,17,5,1.0,385
student_qwen_from_both,Student: 0.5B from Both,34,8,5,2597,4,23,1,12,5,1.0,386
student_qwen_from_both,Student: 0.5B from Both,35,11,12,3200,3,30,1,18,5,1.0,461
student_qwen_from_both,Student: 0.5B from Both,36,10,5,2689,4,23,1,15,5,1.0,393
student_qwen_from_both,Student: 0.5B from Both,37,12,4,2832,1,22,1,12,5,1.0,426
student_qwen_from_both,Student: 0.5B from Both,38,10,4,2752,2,22,1,18,5,1.0,413
student_qwen_from_both,Student: 0.5B from Both,39,9,4,2702,2,22,1,16,5,1.0,392
student_qwen_from_both,Student: 0.5B from Both,40,12,4,2573,3,22,1,12,5,1.0,392
student_qwen_from_both,Student: 0.5B from Both,41,9,4,2686,3,22,1,11,5,1.0,394
student_qwen_from_both,Student: 0.5B from Both,42,12,5,2901,2,23,1,19,5,1.0,429
student_qwen_from_both,Student: 0.5B from Both,43,10,6,2835,2,24,1,18,5,1.0,411
student_qwen_from_both,Student: 0.5B from Both,44,7,9,2744,5,27,1,12,5,1.0,396
student_qwen_from_both,Student: 0.5B from Both,45,11,6,2952,2,24,1,21,5,1.0,434
student_qwen_from_both,Student: 0.5B from Both,46,10,3,2812,1,22,1,10,5,1.0,413
student_qwen_from_both,Student: 0.5B from Both,47,9,5,3217,2,23,1,17,5,1.0,477
student_qwen_from_both,Student: 0.5B from Both,48,7,5,2492,2,23,1,15,5,1.0,373
student_qwen_from_both,Student: 0.5B from Both,49,7,10,3013,2,29,1,27,5,1.0,453
student_qwen_from_both,Student: 0.5B from Both,50,7,3,2540,1,21,1,15,5,1.0,370
student_qwen_from_both,Student: 0.5B from Both,51,8,4,2736,4,22,1,7,5,1.0,396
student_qwen_from_both,Student: 0.5B from Both,52,9,3,2595,2,21,1,17,5,1.0,373
student_qwen_from_both,Student: 0.5B from Both,53,12,8,3266,3,26,1,19,5,1.0,477
student_qwen_from_both,Student: 0.5B from Both,54,10,5,2563,2,23,1,12,5,1.0,372
student_qwen_from_both,Student: 0.5B from Both,55,9,3,2531,1,21,1,8,5,1.0,372
student_qwen_from_both,Student: 0.5B from Both,56,8,4,2734,2,22,1,18,5,1.0,397
student_qwen_from_both,Student: 0.5B from Both,57,9,4,2585,2,22,1,16,5,1.0,381
student_qwen_from_both,Student: 0.5B from Both,58,8,4,2412,2,22,1,15,5,1.0,347
student_qwen_from_both,Student: 0.5B from Both,59,10,5,2775,3,23,1,16,5,1.0,399
student_qwen_from_both,Student: 0.5B from Both,60,9,4,2570,3,22,1,14,5,1.0,370
student_qwen_from_both,Student: 0.5B from Both,61,10,5,2605,1,23,1,11,5,1.0,379
student_qwen_from_both,Student: 0.5B from Both,62,10,4,2732,4,22,1,10,5,1.0,404
student_qwen_from_both,Student: 0.5B from Both,63,8,6,3069,3,24,1,14,5,1.0,440
student_qwen_from_both,Student: 0.5B from Both,64,9,4,2635,2,22,1,14,5,1.0,381
student_qwen_from_both,Student: 0.5B from Both,65,9,5,2843,3,23,1,15,5,1.0,416
student_qwen_from_both,Student: 0.5B from Both,66,7,4,3031,3,22,1,12,5,1.0,439
student_qwen_from_both,Student: 0.5B from Both,67,7,8,3112,3,26,1,25,5,1.0,467
student_qwen_from_both,Student: 0.5B from Both,68,11,3,2742,1,21,1,8,5,1.0,409
student_qwen_from_both,Student: 0.5B from Both,69,9,4,3153,1,22,1,16,5,1.0,470
student_qwen_from_both,Student: 0.5B from Both,70,7,5,2567,3,23,1,8,5,1.0,365
student_qwen_from_both,Student: 0.5B from Both,71,10,6,2626,2,24,1,13,5,1.0,381
student_qwen_from_both,Student: 0.5B from Both,72,10,10,2687,3,28,1,10,5,1.0,376
student_qwen_from_both,Student: 0.5B from Both,73,10,4,2748,3,22,1,18,5,1.0,400
student_qwen_from_both,Student: 0.5B from Both,74,7,5,3103,3,23,1,20,5,1.0,464
student_qwen_from_both,Student: 0.5B from Both,75,8,5,2517,2,23,1,22,5,1.0,375
student_qwen_from_both,Student: 0.5B from Both,76,10,12,3152,1,30,1,11,5,1.0,442
student_qwen_from_both,Student: 0.5B from Both,77,12,5,2916,2,23,1,14,5,1.0,418
student_qwen_from_both,Student: 0.5B from Both,78,10,3,2626,2,21,1,16,5,1.0,378
student_qwen_from_both,Student: 0.5B from Both,79,9,6,2670,3,24,1,10,5,1.0,383
student_qwen_from_both,Student: 0.5B from Both,80,6,6,2790,3,24,1,11,5,1.0,406
student_qwen_from_both,Student: 0.5B from Both,81,10,3,2611,3,21,1,7,5,1.0,384
student_qwen_from_both,Student: 0.5B from Both,82,9,4,2554,2,22,1,19,5,1.0,372
student_qwen_from_both,Student: 0.5B from Both,83,7,4,2430,1,22,1,17,5,1.0,349
student_qwen_from_both,Student: 0.5B from Both,84,6,4,2453,3,22,1,11,5,1.0,367
student_qwen_from_both,Student: 0.5B from Both,85,8,5,2670,2,23,1,18,5,1.0,398
student_qwen_from_both,Student: 0.5B from Both,86,9,5,2501,1,23,1,9,5,1.0,374
student_qwen_from_both,Student: 0.5B from Both,87,8,3,2644,1,21,1,14,5,1.0,386
student_qwen_from_both,Student: 0.5B from Both,88,11,5,2820,3,23,1,9,5,1.0,404
student_qwen_from_both,Student: 0.5B from Both,89,11,7,3206,2,25,1,14,5,1.0,474
student_qwen_from_both,Student: 0.5B from Both,91,6,11,2784,3,29,1,13,5,1.0,390
student_qwen_from_both,Student: 0.5B from Both,92,12,5,2898,3,23,1,13,5,1.0,433
student_qwen_from_both,Student: 0.5B from Both,93,9,4,2520,2,23,1,18,5,1.0,369
student_qwen_from_both,Student: 0.5B from Both,94,6,5,2974,3,23,1,19,5,1.0,439
student_qwen_from_both,Student: 0.5B from Both,95,10,7,2872,3,25,1,19,5,1.0,419
student_qwen_from_both,Student: 0.5B from Both,96,10,3,2685,2,21,1,9,5,1.0,387
student_qwen_from_both,Student: 0.5B from Both,97,8,2,2480,4,20,1,6,5,1.0,355
student_qwen_from_both,Student: 0.5B from Both,98,10,6,3218,2,24,1,16,5,1.0,463
student_qwen_from_both,Student: 0.5B from Both,99,9,4,2705,1,22,1,17,5,1.0,394
student_qwen_from_both,Student: 0.5B from Both,100,9,6,2965,3,24,1,20,5,1.0,431
student_qwen_from_both,Student: 0.5B from Both,101,8,5,2638,2,23,1,21,5,1.0,386
student_qwen_from_both,Student: 0.5B from Both,102,10,5,2788,3,23,1,15,5,1.0,400
student_qwen_from_both,Student: 0.5B from Both,103,4,4,2994,2,22,1,22,5,1.0,443
student_qwen_from_both,Student: 0.5B from Both,104,11,4,2899,2,22,1,9,5,1.0,427
student_qwen_from_both,Student: 0.5B from Both,105,10,5,3070,2,23,1,18,5,1.0,449
student_qwen_from_both,Student: 0.5B from Both,106,9,5,3202,3,23,1,16,5,1.0,464
student_qwen_from_both,Student: 0.5B from Both,107,7,4,3197,1,22,1,14,5,1.0,466
student_qwen_from_both,Student: 0.5B from Both,108,13,15,2564,1,28,1,15,5,1.0,376
student_qwen_from_both,Student: 0.5B from Both,110,8,4,2205,1,22,1,15,5,1.0,321
student_qwen_from_both,Student: 0.5B from Both,111,9,10,3038,3,28,1,18,5,1.0,443
student_qwen_from_both,Student: 0.5B from Both,112,8,4,2823,4,22,1,10,5,1.0,410
student_qwen_from_both,Student: 0.5B from Both,113,10,3,2817,2,21,1,9,5,1.0,417
student_qwen_from_both,Student: 0.5B from Both,114,8,3,2708,3,21,1,16,5,1.0,395
