person_index,word_count_range,action_count_range,explanation_count_range
0,186,3,3
1,56,5,2
2,94,5,3
3,61,7,1
4,92,4,2
5,160,8,2
6,141,4,3
7,112,7,4
8,66,7,3
9,121,6,4
10,88,7,2
11,106,6,2
12,153,9,3
13,62,10,3
14,133,4,5
15,111,8,2
16,94,11,2
17,99,4,3
18,93,8,2
19,90,9,1
20,82,7,1
21,91,7,5
22,128,6,4
23,108,7,2
24,110,2,4
25,59,3,1
26,27,9,2
27,118,8,2
28,33,6,2
29,59,7,3
30,114,3,4
31,147,9,3
32,206,3,3
33,105,6,2
34,136,10,3
35,121,5,1
36,87,6,3
37,165,3,2
38,105,5,2
39,88,8,1
40,91,5,2
41,131,4,1
42,129,5,2
43,100,9,1
44,108,4,4
45,127,8,3
46,77,5,2
47,166,8,3
48,72,5,1
49,48,7,3
50,97,9,2
51,48,6,3
52,107,6,6
53,126,4,2
54,131,12,2
55,38,7,3
56,109,7,3
57,127,9,2
58,135,4,2
59,164,8,4
60,69,3,1
61,60,9,2
62,96,6,3
63,144,6,2
64,79,7,2
65,114,6,2
66,115,7,3
67,100,8,1
68,55,3,3
69,99,6,1
70,140,12,4
71,69,8,2
72,84,7,3
73,72,7,3
74,86,4,4
75,31,4,1
76,159,6,1
77,142,6,2
78,120,5,2
79,57,5,1
80,77,10,3
81,95,11,2
82,31,3,2
83,92,10,1
84,42,5,2
85,21,9,2
86,76,7,3
87,98,12,2
88,92,3,3
89,147,6,4
91,72,13,3
92,153,6,2
93,81,6,4
94,88,11,2
95,37,7,3
96,99,5,2
97,36,5,2
98,138,1,2
99,87,6,1
100,80,6,2
101,93,9,4
102,76,3,3
103,96,12,3
104,61,2,1
105,149,4,2
106,89,7,3
107,103,8,2
108,97,3,3
110,92,7,3
111,156,7,2
112,98,10,4
113,84,7,1
114,80,5,2
115,91,9,1
116,75,6,2
117,96,10,5
118,38,6,4
119,86,7,2
120,80,8,3
121,75,4,2
122,91,6,4
123,115,4,2
124,57,6,2
125,46,4,1
126,89,8,3
127,81,7,2
128,142,6,2
129,110,7,3
130,44,10,3
131,82,3,1
132,79,3,3
133,122,7,3
134,51,4,3
135,101,3,1
136,73,9,1
137,53,4,1
138,76,7,1
139,116,4,3
140,99,6,2
141,145,9,2
142,31,6,2
143,177,4,5
145,47,8,1
146,78,8,3
147,63,4,1
148,78,7,2
149,78,5,1
150,46,9,2
151,77,4,1
152,52,4,1
153,144,4,2
154,44,6,2
155,44,5,1
156,117,10,3
157,89,8,3
158,113,4,4
159,50,9,2
160,101,5,2
161,102,4,2
162,44,13,3
163,61,8,1
164,28,8,1
165,98,7,1
166,90,9,3
167,85,7,1
