rule_id,category,severity,rule_group,violation_count
FAMILY_HISTORY_RISK_CONTEXT,family_history_context,major,required_safety_context,6301
MEDICATION_USE_CLINICIAN_DISCUSSION,medication_context,major,required_safety_context,2640
CHRONIC_DISEASE_HEALTHCARE_TEAM_CONTEXT,chronic_disease_context,major,required_safety_context,433
MENTAL_HEALTH_SUPPORT_WITHOUT_DIAGNOSIS,mental_health_safety,major,required_safety_context,423
BP_RED_FLAG_URGENT_ATTENTION,blood_pressure_safety,critical,required_safety_context,233
HIGH_GLUCOSE_MONITOR_AND_CONSULT,glucose_safety,major,required_safety_context,15
NO_DIRECT_DIAGNOSIS,diagnosis_boundary,critical,forbidden_policy,7
NO_MEDICATION_DIRECTIVE_OR_DOSAGE,medication_boundary,critical,forbidden_policy,5
NO_UNSAFE_INTENSE_EXERCISE_WITH_HIGH_BP,exercise_safety,major,forbidden_policy,5
NO_NICOTINE_REPLACEMENT_OR_CESSATION_DRUG,medication_boundary,major,forbidden_policy,1
MEDICAL_DISCLAIMER_PRESENT,medical_boundary,major,structure_boundary,0
HIGH_CHOLESTEROL_FOLLOWUP,cholesterol_safety,major,required_safety_context,0
BP_STAGE2_MONITOR_AND_PROFESSIONAL_CONFIRMATION,blood_pressure_safety,major,required_safety_context,0
NO_ACTUAL_OR_CHRONOLOGICAL_AGE,age_boundary,major,forbidden_policy,0
NO_DETERMINISTIC_DISEASE_CLAIM,risk_language_boundary,major,forbidden_policy,0
NO_EXTREME_DIET_OR_SUPPLEMENT_CLAIMS,diet_safety,major,forbidden_policy,0
REQ_HEADINGS_PRESENT,response_structure,minor,structure_boundary,0
